s	SAMD00115015	SAMD00115025	SAMD00115027	SAMD00114971	SAMD00114968	SAMD00114970	SAMD00115016	SAMD00115017	SAMD00115019	SAMD00115023	SAMD00114973	SAMD00115018	SAMD00115022	SAMD00114997	SAMD00115032	SAMD00114998	SAMD00114995	SAMD00114996	SAMD00115033	SAMD00114736	SAMD00114745	SAMD00114747	SAMD00114832	SAMD00114741	SAMD00114833	SAMD00114757	SAMD00114834	SAMD00114815	SAMD00114974	SAMD00114979	SAMD00114769	SAMD00114770	SAMD00114771	SAMD00114975	SAMD00114773	SAMD00114718	SAMD00114976	SAMD00114977	SAMD00114719	SAMD00114720	SAMD00114721	SAMD00114984	SAMD00114800	SAMD00114982	SAMD00114795	SAMD00114986	SAMD00114796	SAMD00114987	SAMD00114798	SAMD00114989	SAMD00114990	SAMD00114991	SAMD00114992	SAMD00114780	SAMD00114781	SAMD00114994	SAMD00114778	SAMD00114779	SAMD00114730	SAMD00115001	SAMD00114734	SAMD00115002	SAMD00115003	SAMD00115004	SAMD00114789	SAMD00114791	SAMD00114792	SAMD00114783	SAMD00114784	SAMD00115008	SAMD00114785	SAMD00115009	SAMD00115005	SAMD00115012	SAMD00114819	SAMD00114807	SAMD00114809	SAMD00114812	SAMD00114829	SAMD00114830	SAMD00114862	SAMD00114858	SAMD00114824	SAMD00114818	SAMD00114842	SAMD00114843	SAMD00114845	SAMD00114850	SAMD00114865	SAMD00114867	SAMD00114869	SAMD00114854	SAMD00114859	SAMD00114837	SAMD00114838	SAMD00114860	SAMD00114926	SAMD00114888	SAMD00114889	SAMD00114872	SAMD00114873	SAMD00114938	SAMD00114929	SAMD00114874	SAMD00114932	SAMD00114940	SAMD00114895	SAMD00114876	SAMD00114942	SAMD00114898	SAMD00114908	SAMD00114918	SAMD00114950	SAMD00114913	SAMD00114953	SAMD00114945	SAMD00114880	SAMD00114959	SAMD00114899	SAMD00114881	SAMD00114882	SAMD00114900	SAMD00114901	SAMD00114963	SAMD00114885	SAMD00114906	SAMD00114967	SAMD00136653	SAMD00164727	SAMD00164729	SAMD00164748	SAMD00154991	SAMD00164756	SAMD00164758	SAMD00154992	SAMD00136648	SAMD00164773	SAMD00164774	SAMD00164803	SAMD00164805	SAMD00164806	SAMD00164809	SAMD00164814	SAMD00164819	SAMD00164823	SAMD00164824	SAMD00164825	SAMD00164827	SAMD00164828	SAMD00164833	SAMD00164835	SAMD00164837	SAMD00164840	SAMD00164848	SAMD00164849	SAMD00164853	SAMD00164855	SAMD00164856	SAMD00164862	SAMD00164865	SAMD00164870	SAMD00164873	SAMD00164877	SAMD00164878	SAMD00164879	SAMD00164881	SAMD00164882	SAMD00164886	SAMD00164888	SAMD00164890	SAMD00164891	SAMD00164895	SAMD00164896	SAMD00164897	SAMD00164898	SAMD00164899	SAMD00164901	SAMD00164902	SAMD00164904	SAMD00164908	SAMD00164909	SAMD00164911	SAMD00164914	SAMD00164915	SAMD00164916	SAMD00164917	SAMD00164918	SAMD00164920	SAMD00164923	SAMD00164926	SAMD00164927	SAMD00164929	SAMD00164930	SAMD00164931	SAMD00164933	SAMD00164934	SAMD00164935	SAMD00164936	SAMD00164938	SAMD00164939	SAMD00164941	SAMD00164947	SAMD00164949	SAMD00164950	SAMD00164951	SAMD00164952	SAMD00164953	SAMD00164954	SAMD00164955	SAMD00164956	SAMD00164957	SAMD00164958	SAMD00164960	SAMD00164961	SAMD00164962	SAMD00164963	SAMD00164964	SAMD00164965	SAMD00164966	SAMD00164967	SAMD00164969	SAMD00164972	SAMD00164973	SAMD00164983	SAMD00164986	SAMD00164996	SAMD00164999	SAMD00165001	SAMD00165004	SAMD00165008	SAMD00165010	SAMD00165015	SAMD00165020	SAMD00165021	SAMD00165022	SAMD00165023	SAMD00165024	SAMD00165025	SAMD00165026	SAMD00165027	SAMD00165028	SAMD00165029	SAMD00165030	SAMD00165031	SAMD00165032	SAMD00165033
s__Abiotrophia_defectiva	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007393	0	0	0.007455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001980	0	0	0	0.005840	0	0	0	0	0	0.002536	0	0	0	0.008850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Abiotrophia_sp_HMSC24B09	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002490	0	0	0	0	0	0	0.012697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003061	0	0	0.003703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005850	0	0.000281	0	0	0	0	0	0	0	0	0	0	0	0.001288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Absiella_dolichum	0.020936	0	0.012491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075393	0	0	0	0	0	1.052980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008940	0	0.111211	0.066118	0	0	0	0	0	0	0	0	0	0	0	0	0.079866	0	0	0	0	0	0	0.011770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069219	0	0	0	0	0	0	0	0	0	0.530542	0	0	0	0	0	0	0	0	0	0	0.016872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433858	0	0.071880	0	0
s__Acidaminococcus_fermentans	0	0	0	0	0	0	0	0	0	0	1.055202	1.365513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.765270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.734460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043311	2.375953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.829957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117672	0	2.761959	0	0	0	0	0	0	0	0	0	0	0	0.000890	0	0	0	0	0	0	0	0	0	0	0	0
s__Acidaminococcus_intestini	0	0.669793	0	0.503111	0	0	0	0	0	0	0.063904	0	0	0	0	0	0	0	0	5.358738	0.902032	0	0	0	0	1.310227	0	0	0	0	0.643301	0	1.637307	2.884664	0	0	0	4.791617	0	0	0	0	0	0	0	0	6.193299	0	0	0	0	0	0	0	0	2.710511	0	0	0	0	0	0	0	0	0.066162	0	0	0	0	0	0	0	0	0	0	0	0	0.395014	0	0	0	0	0	0.763224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.651841	0	0	0	0	0	0	0.003320	0	0	0	4.023000	0	1.653784	0	0	0	2.340650	0.599600	3.169879	0	0	0	0	0	0	0.086692	0	0	0	0	0	0	0	0	2.326813	0.149556	0	0	0	0	0	0	0	0	0	0	0	0	0.190845	0	1.216231	0	0.359452	0	0	0	0	0	0	0	3.804948	0	0	4.367267	0.077630	0	0	0.119260	0.004722	9.889841	0	0.831131	2.078324	3.160043	0	0	0	0	0.283720	0	0	0	0	2.734013	0	0	0	1.810176	0	0	1.555209	0.128942	0	0	0	0	1.712979	0	3.064069	0	1.118206	0	0	0	3.210606	1.660056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.596730	2.971190	0	0	0	0	0	0	0	0	0	0	0	0.372155	0	0	0	0	2.156460	0	0	2.371338	0	0	0
s__Acidaminococcus_sp_CAG_542	0	0	0	0	0	0.001050	0	0	0	0	0	0	0	0.000330	0.000440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000320	0	0	0.005811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.208927	0	0	0	0	0	0	0.130310	0	0	0	0	0	0	0	0.282460	0	0	0	0	0	0	0	0	0	0	0	0	0.027270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Acinetobacter_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinobaculum_sp_oral_taxon_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_cardiffensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0	0.009581	0	0	0	0	0.004960	0	0	0	0	0	0.386169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005562	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001180	0	0	0.023484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.062714	0	0	0	0	0	0	0.007340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001340	0	0	0	0	0	0	0	0	0	0.003380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121044	0	0	0	0.003870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
